project,issue_number,issue_type,text,classification,indicator,zz_created,zz_updated,zz_resolved,zz_duration,zz_text,zz_wink_a,zz_wink_b,roberta
camel,10153,description,"Camel 2.17.x upgraded spring version to 4.x in most of the components. but for camel-cxf component, it still has to use spring-dm and spring version 3.x, the spring version range in the Import-Package should keep [3.2,4), not [4.1,5). Now the ERROR will happen when install camel-cxf feature into karaf container (in case of both Spring 4.x and Spring 3.x are installed in the container) To fix it, make change to the pom.xml",architecture_debt,using_obsolete_technology,"Mon, 18 Jul 2016 06:14:14 +0000","Sat, 20 Aug 2016 13:44:18 +0000","Sat, 20 Aug 2016 13:44:17 +0000",2878203,"Camel 2.17.x upgraded spring version to 4.x in most of the components. but for camel-cxf component, it still has to use spring-dm and spring version 3.x, the spring version range in the Import-Package should keep [3.2,4), not [4.1,5). Now the ERROR will happen when install camel-cxf feature into karaf container (in case of both Spring 4.x and Spring 3.x are installed in the container) To fix it, make change to the pom.xml",-0.01322222222,-0.01322222222,neutral
camel,11734,description,It'd be nice if we could upgrade camel-grpc to use the latest grpc-java library as there are some improvements to how it does class loading:,architecture_debt,using_obsolete_technology,"Fri, 1 Sep 2017 06:17:00 +0000","Fri, 8 Sep 2017 08:49:52 +0000","Fri, 8 Sep 2017 08:49:52 +0000",613972,It'd be nice if we could upgrade camel-grpc to use the latest grpc-java library as there are some improvements to how it does class loading: https://github.com/grpc/grpc-java/releases/tag/v1.6.1,0.675,0.675,positive
camel,11868,description,The current java transport client is due EOL in near future and it will be a good idea we switch the the new high level rest client instead. The new high level rest client is only released from version 5.6.0 and towards so an general upgrade of the dependencies is required for the ELK component. This also add the support for basic authentication without the need of x-pack. This is usefull when running ELK behind a reverse proxy.,architecture_debt,using_obsolete_technology,"Sat, 30 Sep 2017 05:29:19 +0000","Wed, 18 Oct 2017 06:54:13 +0000","Wed, 18 Oct 2017 06:54:13 +0000",1560294,The current java transport client is due EOL in near future and it will be a good idea we switch the the new high level rest client instead. The new high level rest client is only released from version 5.6.0 and towards so an general upgrade of the dependencies is required for the ELK component. https://www.elastic.co/guide/en/elasticsearch/client/java-rest/current/java-rest-high.html This also add the support for basic authentication without the need of x-pack. This is usefull when running ELK behind a reverse proxy. https://www.elastic.co/guide/en/elasticsearch/client/java-rest/current/_basic_authentication.html,0.30025,0.2402,neutral
camel,2535,description,"As we don't use the CxfSoap component any more, it's time to clean it up.",architecture_debt,using_obsolete_technology,"Wed, 10 Mar 2010 10:06:54 +0000","Sun, 24 Apr 2011 10:01:27 +0000","Thu, 11 Mar 2010 09:13:31 +0000",83197,"As we don't use the CxfSoap component any more, it's time to clean it up.",0.4,0.4,neutral
camel,2901,description,HawtDB 1.1 has been released. Change log at: We should upgrade to pick up the listed bug fixes:,architecture_debt,using_obsolete_technology,"Fri, 2 Jul 2010 13:12:52 +0000","Sun, 24 Apr 2011 10:01:39 +0000","Fri, 2 Jul 2010 13:13:18 +0000",26,"HawtDB 1.1 has been released. Change log at: http://github.com/chirino/hawtdb/blob/master/changelog.md We should upgrade to pick up the listed bug fixes: Fixing BTree node next linking.. It was possible that a next link would not properly get set in some conditions during a node removal. You can add get callbacks when a commit gets flushed to disk. Changed the way the journal was handling callback based write completed notifications. They are now delivered in batch form to a single JournalListener. This reduces thread contention and increases throughput. Moved the built in predicate implementations into a Predicates class. Added close method to the Transaction interface. Implementation now asserts it is no longer used after a close. Making the appender's max write batch size configurable. Revamped how Update and DefferedUpdates track shadow pages. A little easier to follow now. - changed the interface to PagedAccessor so that instead of removing the linked pages, it just needs to report what the linked pages are. Got rid of the WriteKey wrapper class, updated logging. Better looking printStrucuture BTree method Added a few Logging classes to reduce the number of places we need to update if in case we decided to switch logging APIs. Fixing free page allocation bug when using deferred updates. Javadoc improvements Expose a config property to control the read cache size. Reworked how snapshot tracking was being done. Fixes errors that occurred during heavy concurrent access. Added a non-blocking flush method to the TxPageFile Read cache was not getting updated when a update batch was performed. Cached entries that were updated and flushed to disk continued returning stale data. Fixed an recovery edge cases Don't start the thread from the thread factory. that causes illegal state exceptions Fixed journal bug where getting next location could return a the current location Renamed EncoderDecoder to PagedAccessor The util.buffer package has moved into it's own project at http://github.com/chirino/hawtbuf Fixes #4 : Errors occur when you re-open an empty data file. Extracted a SortedIndex interface from the Index interface to non sorted indexes having to deal with that leaky abstraction. added a free() method to the Paged for symmetry with the alloc() method. Improved website documentation",0.2625,0.05144230769,neutral
camel,4132,description,The camel-atom component is using an ancient incubator version of abdera which will make it hard to work with camel-cxf. Updating to 1.1.2 which is what CXF uses would help.,architecture_debt,using_obsolete_technology,"Tue, 21 Jun 2011 19:03:36 +0000","Wed, 22 Jun 2011 14:05:54 +0000","Wed, 22 Jun 2011 14:05:54 +0000",68538,The camel-atom component is using an ancient incubator version of abdera which will make it hard to work with camel-cxf. Updating to 1.1.2 which is what CXF uses would help.,0.3,0.3,negative
camel,4357,description,I am currently looking into the dependencies betwen packages in camel-core. The packages org.apache.camel and form the camel api. So I am trying to make them not depend on other packages from camel-core. One problem there is the starter class Main. It needs access to impl packages as it needs to start camel. So it should not live in org.apache.camel. I propose to move it to To not break anything right now I will create a deprecated class Main in org.apache.camel that extends the moved Main. We can remove the deprecated version in camel 3.0,architecture_debt,violation_of_modularity,"Fri, 19 Aug 2011 13:38:41 +0000","Mon, 22 Aug 2011 17:08:15 +0000","Mon, 22 Aug 2011 13:34:55 +0000",258974,I am currently looking into the dependencies betwen packages in camel-core. The packages org.apache.camel and org.apache.camel.spi form the camel api. So I am trying to make them not depend on other packages from camel-core. One problem there is the starter class Main. It needs access to impl packages as it needs to start camel. So it should not live in org.apache.camel. I propose to move it to org.apache.camel.main. To not break anything right now I will create a deprecated class Main in org.apache.camel that extends the moved Main. We can remove the deprecated version in camel 3.0,-0.08764285714,-0.05842857143,neutral
camel,4543,description,"Camel Blueprint support is limited/hardcoded to Aries. This makes it impossible to use in JBoss 7 or with another blueprint implementation like Gemini. The following classes use various things from Aries. * * * * * Now obviously the last three are related to the custom namespace handler for Aries. It would be good if these were moved into their own module, something like or the like. That people can choose to include if they would like to use the custom blueprint namespace handler in Aries. Otherwise the camel-blueprint module should be implementation agnostic and work on all blueprint containers. Not just Aries.",architecture_debt,violation_of_modularity,"Thu, 13 Oct 2011 16:19:13 +0000","Sun, 1 May 2016 10:43:46 +0000","Sun, 1 May 2016 10:43:46 +0000",143576673,"Camel Blueprint support is limited/hardcoded to Aries. This makes it impossible to use in JBoss 7 or with another blueprint implementation like Gemini. The following classes use various things from Aries. BlueprintContainerRegistry BlueprintPropertiesParser CamelContextFactoryBean CamelProxyFactoryBean CamelNamespaceHandler Now obviously the last three are related to the custom namespace handler for Aries. It would be good if these were moved into their own module, something like camel-aries-namespace or the like. That people can choose to include if they would like to use the custom blueprint namespace handler in Aries. Otherwise the camel-blueprint module should be implementation agnostic and work on all blueprint containers. Not just Aries.",0.1845,0.1845,neutral
camel,4593,description,"There are bunch fixes of ABDERA-281, ABDERA-290 can help camel-atom work smoothly with OSGi platform. We need to upgrade the the abdera to 1.1.3 once it is out.",architecture_debt,using_obsolete_technology,"Fri, 28 Oct 2011 08:59:47 +0000","Sun, 26 May 2013 09:54:16 +0000","Sun, 26 May 2013 09:54:16 +0000",49769669,"There are bunch fixes of ABDERA-281, ABDERA-290 can help camel-atom work smoothly with OSGi platform. We need to upgrade the the abdera to 1.1.3 once it is out.",0.5125,0.5125,positive
camel,7127,description,CXF 2.x uses deprecated class removed in Spring 4. Because of that camel-cxf doesn't work with Spring 4. This issue has been discussed on this (2) forum thread already. (1) (2),architecture_debt,using_obsolete_technology,"Sat, 11 Jan 2014 17:44:01 +0000","Tue, 27 May 2014 07:22:44 +0000","Tue, 27 May 2014 07:22:44 +0000",11713123,CXF 2.x uses deprecated org.springframework.jms.connection.SingleConnectionFactory102 class removed in Spring 4. Because of that camel-cxf doesn't work with Spring 4. This issue has been discussed on this (2) forum thread already. (1) https://builds.apache.org/view/A-D/view/Camel/job/Camel.trunk.fulltest.spring4/lastBuild/org.apache.camel$camel-cxf/testReport/org.apache.camel.component.cxf.jms/CxfEndpointJMSConsumerTest/testInvocation (2) http://camel.465427.n5.nabble.com/Spring-4-update-td5745746.html,-0.12,-0.06666666667,negative
