project,issue_number,issue_type,text,classification,indicator,zz_created,zz_updated,zz_resolved,zz_duration,zz_text,zz_wink_a,zz_wink_b,roberta
camel,201,comment_1,Johathan. The patch looks great. Only two issues with the ident of the code. One @override was not idented properly. And one method parameter was on a new line instead of singleline. Just nitpicking. Would love to have it documented on the wiki that we got this new transform DSL now. And we should remember to add it to the release notes that setOutBody() is depreacted and replaced with transform() And since setOutBody() is to be replaced with transform. Could we have a unit test that verifies a setOutBody() test that is done by transform render the same OUT body?,documentation_debt,outdated_documentation,"Fri, 2 Nov 2007 17:37:12 +0000","Fri, 11 Jul 2008 04:25:15 +0000","Tue, 6 May 2008 16:22:20 +0000",16065908,Johathan. The patch looks great. Only two issues with the ident of the code. One @override was not idented properly. And one method parameter was on a new line instead of singleline. Just nitpicking. Would love to have it documented on the wiki that we got this new transform DSL now. And we should remember to add it to the release notes that setOutBody() is depreacted and replaced with transform() And since setOutBody() is to be replaced with transform. Could we have a unit test that verifies a setOutBody() test that is done by transform render the same OUT body?,0.1077777778,0.1077777778,positive
camel,201,comment_2,"Hey Claus, Nitpick away :) I fixed up the indentations and added a test that verifies the deprecated setOutBody method still behaves. Yeah, the wiki will need to be updated once this feature gets in.",documentation_debt,outdated_documentation,"Fri, 2 Nov 2007 17:37:12 +0000","Fri, 11 Jul 2008 04:25:15 +0000","Tue, 6 May 2008 16:22:20 +0000",16065908,"Hey Claus, Nitpick away I fixed up the indentations and added a test that verifies the deprecated setOutBody method still behaves. Yeah, the wiki will need to be updated once this feature gets in.",0.27025,0.2405,positive
camel,201,comment_3,"Patch applied. Excellent contribution, thanks Jon. I will leave this issue open until we update the documentation.",documentation_debt,outdated_documentation,"Fri, 2 Nov 2007 17:37:12 +0000","Fri, 11 Jul 2008 04:25:15 +0000","Tue, 6 May 2008 16:22:20 +0000",16065908,"Patch applied. Excellent contribution, thanks Jon. I will leave this issue open until we update the documentation.",0.125,0.125,positive
camel,201,comment_4,"Updated the docs for this at: Unfortunately, it doesn't look as nice as it should because confluence is barfing all over the place with the following message: ""An error occurred: Connection refused. The system administrator has been notified.""",documentation_debt,low_quality_documentation,"Fri, 2 Nov 2007 17:37:12 +0000","Fri, 11 Jul 2008 04:25:15 +0000","Tue, 6 May 2008 16:22:20 +0000",16065908,"Updated the docs for this at: http://cwiki.apache.org/confluence/display/CAMEL/Message+Translator Unfortunately, it doesn't look as nice as it should because confluence is barfing all over the place with the following message: ""An error occurred: Connection refused. The system administrator has been notified.""",-0.090625,-0.090625,positive
camel,201,comment_0,"I finally got around to doing this one up. There are no XQuery specific tests (mainly because of not knowing where to put them ;)), but it is generic enough to work for any expression language. Let me know if you have any questions!",test_debt,lack_of_tests,"Fri, 2 Nov 2007 17:37:12 +0000","Fri, 11 Jul 2008 04:25:15 +0000","Tue, 6 May 2008 16:22:20 +0000",16065908,"I finally got around to doing this one up. There are no XQuery specific tests (mainly because of not knowing where to put them ), but it is generic enough to work for any expression language. Let me know if you have any questions!",0.09741666667,0.06322222222,positive
camel,201,comment_6,"IIRC one of my issues for putting a spring transform test in camel-saxon was that the public camel xsd did not contain the transform element *yet* and so it failed to resolve. The camel-spring module has some magic in there to use a locally built xsd, so the transform element could be tested there fine. Since putting an XQuery test in camel-spring is a bad idea (circular dependency!), I opted for a test case using the ""simple"" expression language. Make sense?",test_debt,low_coverage,"Fri, 2 Nov 2007 17:37:12 +0000","Fri, 11 Jul 2008 04:25:15 +0000","Tue, 6 May 2008 16:22:20 +0000",16065908,"IIRC one of my issues for putting a spring transform test in camel-saxon was that the public camel xsd did not contain the transform element yet and so it failed to resolve. The camel-spring module has some magic in there to use a locally built xsd, so the transform element could be tested there fine. Since putting an XQuery test in camel-spring is a bad idea (circular dependency!), I opted for a test case using the ""simple"" expression language. Make sense?",-0.1024666667,-0.1024666667,positive
camel,302,comment_1,"Could you look at the solution I made in CAMEL-254 and say if it is OK for you? We could have also your solution implemented (as by default in CAMEL-254 I skip all headers that start with 'org.apache.camel') but I think it could be too much ;) If it works for you, then lets close the issue.",code_debt,low_quality_code,"Mon, 21 Jan 2008 14:45:50 +0000","Mon, 16 Feb 2009 05:53:17 +0000","Thu, 11 Sep 2008 16:12:35 +0000",20222805,"Could you look at the solution I made in CAMEL-254 and say if it is OK for you? We could have also your solution implemented (as by default in CAMEL-254 I skip all headers that start with 'org.apache.camel') but I think it could be too much If it works for you, then lets close the issue.",0.1229166667,0.09375,neutral
camel,302,comment_2,In CAMEL-254 you add all headers except in the HTTP Header. In this way it is more difficulty to exclude some headers. It is better perhaps to use a special map for these headings. Does thing think of it?,code_debt,low_quality_code,"Mon, 21 Jan 2008 14:45:50 +0000","Mon, 16 Feb 2009 05:53:17 +0000","Thu, 11 Sep 2008 16:12:35 +0000",20222805,"In CAMEL-254 you add all headers except ""org.apache.camel.component.http.query"" in the HTTP Header. In this way it is more difficulty to exclude some headers. It is better perhaps to use a special map for these headings. Does thing think of it?",0.010125,0.0045,neutral
camel,302,comment_4,Roman we might need a for end users to easier adding their own headers to ignore instead of clearing the already default ignored ones.,design_debt,non-optimal_design,"Mon, 21 Jan 2008 14:45:50 +0000","Mon, 16 Feb 2009 05:53:17 +0000","Thu, 11 Sep 2008 16:12:35 +0000",20222805,Roman we might need a addIgnoreHeader(key) for end users to easier adding their own headers to ignore instead of clearing the already default ignored ones.,-0.3666666667,-0.15,neutral
camel,383,comment_1,A patch with the following changes: - copyright headers for missing files - removed an unused import - new feature to transfer exchange objects using TCP protocol see how to use it The new feature only works for the TCP protocol and for the default codec (= object). So do not use textline=true as option.,code_debt,low_quality_code,"Wed, 12 Mar 2008 16:18:36 +0000","Mon, 12 May 2008 12:45:33 +0000","Mon, 24 Mar 2008 11:47:55 +0000",1020559,A patch with the following changes: copyright headers for missing files removed an unused import new feature to transfer exchange objects using TCP protocol (transferExchange=true) see MinaTransferExchangeOptionTest how to use it The new feature only works for the TCP protocol and for the default codec (= object). So do not use textline=true as option.,-0.39425,-0.3154,neutral
camel,383,comment_2,I think this ticket should be changed from bug to new feature. Also anyone got a better name for the option (transferExchange)? I considered the option bodyOnly also but then I needed to make sure the defaults would be bodyOnly=true even when the parameter is not specified.,code_debt,low_quality_code,"Wed, 12 Mar 2008 16:18:36 +0000","Mon, 12 May 2008 12:45:33 +0000","Mon, 24 Mar 2008 11:47:55 +0000",1020559,I think this ticket should be changed from bug to new feature. Also anyone got a better name for the option (transferExchange)? I considered the option bodyOnly also but then I needed to make sure the defaults would be bodyOnly=true even when the parameter is not specified.,0.3455,0.3455,neutral
camel,383,comment_3,TODO: Remember to update wiki component documentation with the new option if patch is accepted.,documentation_debt,outdated_documentation,"Wed, 12 Mar 2008 16:18:36 +0000","Mon, 12 May 2008 12:45:33 +0000","Mon, 24 Mar 2008 11:47:55 +0000",1020559,TODO: Remember to update wiki component documentation with the new option if patch is accepted.,0.2,0.2,neutral
camel,383,comment_5,"Hi Willem I am on vacation at my parents at the time being and there I have not access to the net. So its a bit challenge to work on Camel using maven in offline mode. I decided in last minute to remove the transfer of exchangeid, but I forgot to remove it in the unit tests that still could pass if the generated ids are the same. Today I have access to the net for a few hours so I am trying to catch up on the mail and the camel commits to merge with a few changes in the mina component I have improved during the last 3 days. I will update the wiki documents on sunday when I am back home. I am also working on providing a camel-mina-example sample for the distribution.",documentation_debt,outdated_documentation,"Wed, 12 Mar 2008 16:18:36 +0000","Mon, 12 May 2008 12:45:33 +0000","Mon, 24 Mar 2008 11:47:55 +0000",1020559,"Hi Willem I am on vacation at my parents at the time being and there I have not access to the net. So its a bit challenge to work on Camel using maven in offline mode. I decided in last minute to remove the transfer of exchangeid, but I forgot to remove it in the unit tests that still could pass if the generated ids are the same. Today I have access to the net for a few hours so I am trying to catch up on the mail and the camel commits to merge with a few changes in the mina component I have improved during the last 3 days. I will update the wiki documents on sunday when I am back home. I am also working on providing a camel-mina-example sample for the distribution.",0.1822777778,0.1822777778,neutral
